id;event_name;la_event_type_cat;tickets_purchased_qty;delivery_type_cd;event_dt;sales_platform_cd
1;Xfinity Center Mansfield Premier Parking: Florida Georgia Line;PARKING;1;eTicket;2015-09-12;www.concerts.livenation.com
2;Gorge Camping - dave matthews band - sept 3-7;INVALID;1;TicketFast;2009-09-04;NULL
3;Dodge Theatre Adams Street Parking - benise;PARKING;1;TicketFast;2006-04-21;NULL
4;Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow;PARKING;1;Mail;2011-09-02;NULL
5;Premier Parking - motley crue;PARKING;1;Mail;2005-07-30;NULL
6;Fast Lane Access: Journey;UPSELL;2;TicketFast;2012-07-21;www.livenation.com
7;Phil Lesh & friends-pnc bank arts center holmdel premier parking;PARKING;1;TicketFast;2006-07-01;NULL
8;Star Parking Presented By Hertz: Train -  white river amp;PARKING;1;Mail;2013-08-14;www.concerts.livenation.com
9;Brad Paisley: Hertz Premier Parking;PARKING;1;TicketFast;2012-10-17;www.livenation.com
10;Shlohmo;CONCERTS;1;eTicket;2015-04-30;mobile.livenation.us
11;Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti;PARKING;1;TicketFast;2006-08-26;NULL
12;Blake Shelton: Presented By Gildan;CONCERTS;2;eTicket;2016-02-20;www.ticketmaster.com
13;Skip The Line: Pierce The Line/all Time Low;UPSELL;4;TicketFast;2013-04-14;www.concerts.livenation.com
14;Tabernacle Parking: Chris Botti;PARKING;1;Mail;2007-01-14;NULL
15;Premier Parking: Aerosmith;PARKING;1;TicketFast;2006-10-21;NULL
16;Premier Parking: Toby Keith;PARKING;1;Mail;2008-06-28;NULL
17;Lindsey Stirling: The Music Box Tour;CONCERTS;2;eTicket;2015-06-09;www.concerts.livenation.com
18;Premier Parking : rascal flatts;PARKING;1;Mail;2008-09-13;NULL
19;Dodge Theatre Adams Street Parking - bb king;PARKING;1;Mail;2007-01-07;NULL
20;Verizon Wireless Amphitheatre Vip Parking: Zac Brown Band;PARKING;1;TicketFast;2010-08-21;NULL
21;Xfinity Center Mansfield Premier Parking: Tim Mcgraw;PARKING;1;eTicket;2015-06-12;www.concerts.livenation.com
22;Skip The Line: Maroon 5/kelly clarkson;UPSELL;4;TicketFast;2013-08-31;www.concerts.livenation.com
23;Vip Fast Lane: Dave Matthews Band;UPSELL;2;Mail;2010-06-30;NULL
24;Premier Parking: John Mayer;PARKING;1;BWC;2008-08-20;NULL
25;Lakewood Amphitheatre Parking: Tim Mcgraw;PARKING;1;Mail;2008-06-11;NULL
26;The Lawn At White River Vip Fast Lane: Moody Blues;UPSELL;2;TicketFast;2010-06-23;NULL
27;Godsmack;CONCERTS;1;eTicket;2015-04-17;www.concerts.livenation.com
28;Old National Centre Bottomless Soda: Childish Gambino;UPSELL;1;TicketFast;2012-06-15;NULL
29;Wrsp Premier Parking : alice cooper;PARKING;1;ISPU;2008-08-22;NULL
30;Florence And The Machine: How Beautiful Tour;CONCERTS;2;eTicket;2016-06-07;www.concerts.livenation.com
31;Premier Parking : vans wapred tour;PARKING;1;TicketFast;2007-08-07;NULL
32;Bruce Springsteen And The E Street Band: The River Tour.;CONCERTS;2;Paperless;2016-04-03;iphone.ticketmaster.us
33;Premier Parking: Coldplay;PARKING;1;UPS;2005-09-09;NULL
34;Gorge Camping - sasquatch! festival may 22-26;INVALID;1;TicketFast;2009-05-23;NULL
35;Premier Parking: Brooks & dunn;PARKING;1;Mail;2006-06-03;NULL
36;Atlas Genius;CONCERTS;2;eTicket;2016-04-16;android.ticketmaster.us
37;Vip Parking: Jimmy Buffet;PARKING;1;TicketFast;2011-08-25;NULL
38;Fiddlers Green Amph Parking (miranda lambert);PARKING;1;TicketFast;2013-05-18;www.concerts.livenation.com
39;Parking: Aerosmith & motley crue;PARKING;1;TicketFast;2006-10-07;NULL
40;Cricket Wireless Amphitheatre Vip Parking: Lilith;PARKING;1;TicketFast;2010-07-07;NULL
41;Comedy Bang! Bang! Live!;ARTS;2;eTicket;2016-05-14;www.concerts.livenation.com
42;Premier Parking: Journey;PARKING;1;Mail;2005-11-13;NULL
43;Gorge Amphitheatre Camping: Dave Matthews Band Aug 29- sept 2,2013;UPSELL;1;Mail;2013-08-29;www.concerts.livenation.com
44;The Room: Emeli Sande;UPSELL;2;TicketFast;2013-07-03;www.concerts.livenation.com
